error,message
함수 .*를 찾을 수 없습니다,패키지를 library() 함수를 이용해서 불러오는 것을 잊었거나 함수명을 잘못 작성했을 수 있습니다.
객체의 타입 'closure'는 부분대입할 수 없습니다,함수에서 `$`를 호출했을 수도 있습니다.
수치형이 아닌 인자가,숫자가 필요한 곳에 문제 벡터를 사용하려고 한 것일 수 있습니다.
이라고 불리는 패키지가 없습니다,패키지를 설치하는 것을 잊었거나 패키지 이름을 잘못 입력했을 수 있습니다.
객체 .*를 찾을 수 없습니다,입력한 객체 이름이 잘못되었거나 선언하는 것을 잊었을 수 있습니다.
길이가 0인 변수명을 사용하려고 시도했습니다,마크다운 청크(코드뭉치)에서 ```를 실행하려 했을 수 있습니다.
함수가 아닌것에 적용하려고 합니다,함수가 아닌 객체를 함수로 사용하려고 한 것 같습니다.
예상하지 못한 기호(symbol)입니다. In,문법에 실수가 있을 수 있습니다.
파일 .*를 여는데 실패했습니다: No such file or directory,파일 경로나 이름이 없는 것을 시도했을 수 있습니다.
Error in match.arg,이 함수에서는 사용할 수 없는 인수를 사용하려고 했을 수 있습니다.
